Continent_Name,Year,GDP,CO2 Emission,Temperature Change
Asia,1974,2718650058672.0884,367.0003134270487,0.06395470383275259
Asia,1975,2677943920996.252,347.5035024780487,0.12269383426753519
Asia,1976,2807074137371.0435,349.58788259004865,-0.0436720193910014
Asia,1977,3052380084770.3076,337.3524752650487,0.3448327526132404
Asia,1978,3390772239585.4053,357.6121603610487,0.3075644599303135
Asia,1979,3620038815480.7246,346.95020354004873,0.6448571428571429
Asia,1980,3830310148207.665,329.14628576904863,0.37936933797909406
Asia,1981,4011938944332.203,287.5364449920487,0.368588850174216
Asia,1982,3938197565426.0967,278.65358303104864,0.13368641114982577
Asia,1983,4088248614930.764,271.1301825210487,0.08629616724738674
Asia,1984,4211712709985.9473,278.28415193204864,0.16517421602787455
Asia,1985,4303798723903.2266,285.85837558104873,0.318808362369338
Asia,1986,5022480877600.6,289.36019202504866,0.3461742160278745
Asia,1987,5486505616412.968,283.16923514904863,0.4721084684138767
Asia,1988,5732453715235.03,297.8746601020487,0.5148157854870474
Asia,1989,5810160026687.039,306.61748327604874,0.33057188304802304
Asia,1990,6111522850358.323,282.00545131238437,0.4595644599303135
Asia,1991,6524398913338.853,288.80022610638423,0.4556694440236327
Asia,1992,6935358040198.879,286.60964692792004,-0.26816330858960763
Asia,1993,7505235078775.004,285.08892564392005,-0.07684623541887592
Asia,1994,8204532562268.566,284.63585256192005,0.5272269353128314
Asia,1995,9212748207287.941,280.70054080138425,0.4827073170731708
Asia,1996,8981118011253.775,279.49555805038426,0.27199999999999996
Asia,1997,8674334914473.702,281.45974491538425,0.3883170731707317
Asia,1998,7885675348067.935,278.8007021613843,0.9897317073170728
Asia,1999,8634333469531.271,282.6470801663842,0.9884146341463415
Asia,2000,9420356360108.754,283.7516704563842,0.6577391304347826
Asia,2001,8902212340055.115,288.0737285073843,0.9249586426299046
Asia,2002,9113317844840.29,295.63874563626666,0.9836171792152705
Asia,2003,10154000665177.977,299.75689204926675,0.5821463414634145
Asia,2004,11572408027013.871,302.15937446526664,0.9071219512195122
Asia,2005,12747259231896.64,312.6209578692667,0.7247073170731708
Asia,2006,13986578158901.584,320.0651352672666,0.9842195121951216
Asia,2007,16195251008828.385,316.64476628626664,0.8783658536585366
Asia,2008,18789281712710.715,318.4799625312665,0.7487804878048782
Asia,2009,18708962856518.91,304.76079620326664,0.8707804878048784
Asia,2010,22004052382145.203,308.62305946426665,1.5182682926829267
Asia,2011,25726107564661.188,312.2959366712667,0.7160000000000002
Asia,2012,27391882111465.254,317.3890299782666,0.8203976670201486
Asia,2013,27812944399714.676,314.4845002732667,1.019048780487805
Asia,2014,28547861433385.887,312.5250966492667,0.9077073170731708
Asia,2015,27501453574941.477,310.5008320372666,1.2957073170731708
Asia,2016,28471957353321.074,312.3288578392667,1.4923414634146344
Asia,2017,30762545156148.29,312.67585790926665,1.2954634146341468
Asia,2018,32942213593110.82,310.5916040712668,1.519390243902439
Asia,2019,33717214806071.4,295.86959053799393,1.4056341463414637
Asia,2020,30392147986826.58,295.86959053799393,0.538096557987769
Europe,1960,4761151789570.726,282.03979058475863,0.8288622498394026
Europe,1961,4778538697954.1875,285.9182321997587,0.9988269679300288
Europe,1962,4805648703468.969,293.20086603275877,0.38499023323615156
Europe,1963,4839574465757.838,301.5606346807586,0.20674533527696787
Europe,1964,4877448997812.479,309.5913410177587,0.46758206997084545
Europe,1965,4912546707458.465,313.1760207977587,0.16762288629737604
Europe,1966,4796428467027.897,318.8048967707588,0.5779902332361517
Europe,1967,4833298152448.856,321.0145121547586,0.6520310495626822
Europe,1968,4857070795077.274,334.96544341075867,0.43841880466472294
Europe,1969,4914331403242.743,345.6484309777588,0.32976574344023313
Europe,1970,3432822888171.82,358.98725613075874,0.3023575801749271
Europe,1971,3541961645327.863,359.88795520975873,0.4001330903790087
Europe,1972,3732940422606.6514,368.4819614977587,0.46284737609329457
Europe,1973,4044807442096.309,379.81369234975864,0.5353371720116618
Europe,1974,4235357391650.4106,374.4555267677587,0.5243983965014577
Europe,1975,4502437359784.757,365.9081579667587,0.7739902332361513
Europe,1976,4578924981177.005,376.0863153367587,0.39174533527696787
Europe,1977,4847222848768.052,377.6525768537587,0.5139698250728862
Europe,1978,5350183083240.69,385.5363503197587,0.31490860058309034
